"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[answer]] to irvine welsh's book trainspotting .","the [[divinely]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[replying]] to irvine welsh's book trainspotting .",0.0008034110069274902,0.5647459030151367,1,0,1,80,"Successful"
"as it turns out , you can go home again .","as it turns out , you can go home again .",0.0026444196701049805,0.0026444196701049805,1,1,1,1,"Failed"
"you've already seen city by the sea under a variety of titles , but it's worth yet another [[visit]] .","you've already seen city by the sea under a variety of titles , but it's worth yet another [[visits]] .",0.007079780101776123,0.006235897541046143,1,1,1,2,"Failed"
"this [[kind]] of hands-on storytelling is [[ultimately]] what makes shanghai ghetto move beyond a good , [[dry]] , [[reliable]] [[textbook]] and what [[allows]] it to [[rank]] with its worthy predecessors .","this [[kinds]] of hands-on storytelling is [[finally]] what makes shanghai ghetto move beyond a good , [[drier]] , [[dependable]] [[manuals]] and what [[enables]] it to [[rankings]] with its worthy predecessors .",0.0011088252067565918,0.0012643933296203613,1,1,1,339,"Failed"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.9852627515792847,0.9852627515792847,0,0,1,1,"Skipped"
"grown-up quibbles are beside the point here . the little girls [[understand]] , and mccracken knows that's all that [[matters]] .","grown-up quibbles are beside the point here . the little girls [[fathom]] , and mccracken knows that's all that [[issues]] .",0.02947944402694702,0.8860576152801514,1,0,1,27,"Successful"
"a [[powerful]] , chilling , and [[affecting]] [[study]] of one man's dying fall .","a [[potent]] , chilling , and [[impacting]] [[studying]] of one man's dying fall .",0.0005972385406494141,0.0004864931106567383,1,1,1,31,"Failed"
"this is a [[fascinating]] [[film]] because there is no clear-cut hero and no all-out villain .","this is a [[enthralling]] [[movie]] because there is no clear-cut hero and no all-out villain .",0.0010092854499816895,0.0016148090362548828,1,1,1,23,"Failed"
"a dreadful day in irish history is given [[passionate]] , if somewhat [[flawed]] , treatment .","a dreadful day in irish history is given [[ardent]] , if somewhat [[imperfect]] , treatment .",0.0011037588119506836,0.7484204769134521,1,0,1,86,"Successful"
". . . a good film that must have baffled the folks in the marketing department .",". . . a good film that must have baffled the folks in the marketing department .",0.8600410223007202,0.8600410223007202,0,0,1,1,"Skipped"
". . . is funny in the [[way]] that makes you ache with [[sadness]] ( the [[way]] chekhov is funny ) , [[profound]] without ever being self-important , [[warm]] without ever succumbing to sentimentality .",". . . is funny in the [[manner]] that makes you ache with [[grief]] ( the [[manner]] chekhov is funny ) , [[deep]] without ever being self-important , [[warming]] without ever succumbing to sentimentality .",0.0018047690391540527,0.0014000535011291504,1,1,1,80,"Failed"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.9990664124488831,0.9990664124488831,0,0,1,1,"Skipped"
"a soul-stirring documentary about the [[israeli]]/[[palestinian]] [[conflict]] as [[revealed]] through the eyes of some [[children]] who remain [[curious]] about each other against all odds .","a soul-stirring documentary about the [[israelis]]/[[palestinians]] [[disputes]] as [[disclosed]] through the eyes of some [[kids]] who remain [[nosy]] about each other against all odds .",0.00035190582275390625,0.00042241811752319336,1,1,1,144,"Failed"
"what's so [[striking]] about jolie's performance is that she never lets her character become a caricature -- not even with that [[radioactive]] [[hair]] .","what's so [[startling]] about jolie's performance is that she never lets her character become a caricature -- not even with that [[radiological]] [[hairstyle]] .",0.0049201250076293945,0.006187319755554199,1,1,1,40,"Failed"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.9984566569328308,0.9984566569328308,0,0,1,1,"Skipped"
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[spotless]] , with roussillon providing comic relief .",0.005699634552001953,0.996551513671875,1,0,1,7,"Successful"
"kinnear . . . gives his best screen performance with an [[oddly]] [[winning]] [[portrayal]] of one of life's ultimate losers .","kinnear . . . gives his best screen performance with an [[curiously]] [[wins]] [[depiction]] of one of life's ultimate losers .",0.00268632173538208,0.0026611685752868652,1,1,1,36,"Failed"
"hugh [[grant]] , who has a good line in [[charm]] , has never been more [[charming]] than in about a [[boy]] .","hugh [[granting]] , who has a good line in [[glamour]] , has never been more [[lovely]] than in about a [[boys]] .",0.007277190685272217,0.05686688423156738,1,1,1,61,"Failed"
"there's a [[lot]] of tooth in roger dodger . but what's nice is that there's a [[casual]] intelligence that [[permeates]] the script .","there's a [[batch]] of tooth in roger dodger . but what's nice is that there's a [[occasional]] intelligence that [[pervades]] the script .",0.0076233744621276855,0.008399367332458496,1,1,1,19,"Failed"
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while [[waiting]] for things to happen .","reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while [[awaiting]] for things to happen .",0.32402503490448,0.6304751038551331,1,0,1,9,"Successful"
"one of the best looking and [[stylish]] [[animated]] [[movies]] in [[quite]] a while . . .","one of the best looking and [[stylishly]] [[animation]] [[movie]] in [[pretty]] a while . . .",0.0006697177886962891,0.0014087557792663574,1,1,1,68,"Failed"
"its [[use]] of the thriller form to [[examine]] the labyrinthine [[ways]] in which people's lives [[cross]] and change , buffeted by [[events]] [[seemingly]] out of their [[control]] , is [[intriguing]] , [[provocative]] stuff .","its [[usage]] of the thriller form to [[investigated]] the labyrinthine [[pathways]] in which people's lives [[crossing]] and change , buffeted by [[event]] [[apparently]] out of their [[controls]] , is [[fascinating]] , [[inflammatory]] stuff .",0.0004979372024536133,0.0006709098815917969,1,1,1,349,"Failed"
"denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .","denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .",0.9744519591331482,0.9744519591331482,0,0,1,1,"Skipped"
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",0.9890892505645752,0.9890892505645752,0,0,1,1,"Skipped"
"[[waiting]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .","[[waits]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .",0.08652013540267944,0.6773092150688171,1,0,1,6,"Successful"
"a gangster [[movie]] with the [[capacity]] to [[surprise]] .","a gangster [[film]] with the [[ability]] to [[astonishment]] .",0.0011518001556396484,0.0010666251182556152,1,1,1,22,"Failed"
"the film has a laundry [[list]] of minor [[shortcomings]] , but the [[numerous]] scenes of gory [[mayhem]] are worth the [[price]] of admission . . . if "" gory mayhem "" is your idea of a good time .","the film has a laundry [[listing]] of minor [[failings]] , but the [[innumerable]] scenes of gory [[shambles]] are worth the [[costing]] of admission . . . if "" gory mayhem "" is your idea of a good time .",0.01753675937652588,0.6182404160499573,1,0,1,381,"Successful"
"if not a home run , then at least a solid [[base]] hit .","if not a home run , then at least a solid [[groundwork]] hit .",0.31781578063964844,0.8075811862945557,1,0,1,10,"Successful"
"goldmember is funny enough to [[justify]] the embarrassment of bringing a barf [[bag]] to the moviehouse .","goldmember is funny enough to [[justifying]] the embarrassment of bringing a barf [[purse]] to the moviehouse .",0.014088094234466553,0.007996797561645508,1,1,1,5,"Failed"
". . . a [[fairly]] disposable yet still [[entertaining]] b [[picture]] .",". . . a [[relatively]] disposable yet still [[amusing]] b [[photographed]] .",0.0021629929542541504,0.003324151039123535,1,1,1,47,"Failed"
"it may not be [[particularly]] [[innovative]] , but the film's crisp , [[unaffected]] [[style]] and air of gentle longing make it unexpectedly [[rewarding]] .","it may not be [[especially]] [[groundbreaking]] , but the film's crisp , [[untouched]] [[styling]] and air of gentle longing make it unexpectedly [[reward]] .",0.0035079121589660645,0.0027241110801696777,1,1,1,61,"Failed"
"the [[film]] [[truly]] does [[rescue]] [the funk [[brothers]]] from motown's shadows . it's about time .","the [[movies]] [[really]] does [[rescues]] [the funk [[brethren]]] from motown's shadows . it's about time .",0.004064083099365234,0.006722509860992432,1,1,1,50,"Failed"
"drawing on an irresistible , languid [[romanticism]] , byler [[reveals]] the [[ways]] in which a sultry evening or a beer-fueled afternoon in the sun can [[inspire]] even the most [[retiring]] [[heart]] to venture forth .","drawing on an irresistible , languid [[romance]] , byler [[uncovers]] the [[pathways]] in which a sultry evening or a beer-fueled afternoon in the sun can [[inspires]] even the most [[retire]] [[nub]] to venture forth .",0.0005483031272888184,0.0009095668792724609,1,1,1,153,"Failed"
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .","works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.9988498687744141,0.9988498687744141,0,0,1,1,"Skipped"
"[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .","[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .",0.655990719795227,0.655990719795227,0,0,1,1,"Skipped"
"a heady , biting , be-bop ride through [[nighttime]] manhattan , a loquacious videologue of the [[modern]] [[male]] and the [[lengths]] to which he'll go to weave a [[protective]] cocoon around his [[own]] ego .","a heady , biting , be-bop ride through [[overnight]] manhattan , a loquacious videologue of the [[moderne]] [[men]] and the [[length]] to which he'll go to weave a [[prophylactic]] cocoon around his [[owned]] ego .",0.00040715932846069336,0.0005263686180114746,1,1,1,114,"Failed"
"skin of man [[gets]] a few [[cheap]] shocks from its kids-in-peril theatrics , but it also taps into the primal [[fears]] of young people trying to cope with the mysterious and [[brutal]] [[nature]] of [[adults]] .","skin of man [[obtains]] a few [[cheaper]] shocks from its kids-in-peril theatrics , but it also taps into the primal [[anxieties]] of young people trying to cope with the mysterious and [[brute]] [[characters]] of [[grownup]] .",0.0013840198516845703,0.0021393895149230957,1,1,1,121,"Failed"
"the piano [[teacher]] is not an easy [[film]] . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[cool]] distance from its [[material]] that is [[deliberately]] [[unsettling]] .","the piano [[professors]] is not an easy [[movie]] . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[refrigerate]] distance from its [[materials]] that is [[purposely]] [[worrisome]] .",0.0011672377586364746,0.048520684242248535,1,1,1,239,"Failed"
"as [[refreshing]] as a drink from a woodland stream .","as [[freshen]] as a drink from a woodland stream .",0.004609227180480957,0.07149100303649902,1,1,1,4,"Failed"
"williams absolutely [[nails]] sy's queasy infatuation and overall strangeness .","williams absolutely [[toenails]] sy's queasy infatuation and overall strangeness .",0.00387495756149292,0.992641806602478,1,0,1,11,"Successful"
"can i [[admit]] xxx is as [[deep]] as a petri [[dish]] and as well-characterized as a [[telephone]] book but still say it was a [[guilty]] pleasure ?","can i [[concede]] xxx is as [[profound]] as a petri [[saucer]] and as well-characterized as a [[telephoned]] book but still say it was a [[guilt]] pleasure ?",0.02574300765991211,0.01577603816986084,1,1,1,69,"Failed"
"while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so [[aggressively]] [[silly]] that it's more than a worthwhile effort .","while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so [[strenuously]] [[brainless]] that it's more than a worthwhile effort .",0.005793929100036621,0.8332180976867676,1,0,1,82,"Successful"
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .","by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",0.9228044152259827,0.9228044152259827,0,0,1,1,"Skipped"
"an intimate contemplation of two [[marvelously]] messy lives .","an intimate contemplation of two [[marvellously]] messy lives .",0.0005172491073608398,0.0006052255630493164,1,1,1,7,"Failed"
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .","rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",0.7889769077301025,0.7889769077301025,0,0,1,1,"Skipped"
"this is one of those [[rare]] [[docs]] that [[paints]] a grand [[picture]] of an [[era]] and makes the [[journey]] feel like a party .","this is one of those [[uncommon]] [[doc]] that [[paint]] a grand [[image]] of an [[epoch]] and makes the [[trip]] feel like a party .",0.0005079507827758789,0.0012779831886291504,1,1,1,187,"Failed"
"poignant if familiar [[story]] of a young person [[suspended]] between two cultures .","poignant if familiar [[stories]] of a young person [[suspend]] between two cultures .",0.000722348690032959,0.5542484521865845,1,0,1,22,"Successful"
"a metaphor for a modern-day urban china [[searching]] for its identity .","a metaphor for a modern-day urban china [[looking]] for its identity .",0.0007278323173522949,0.0010593533515930176,1,1,1,5,"Failed"
"for all its brooding quality , [[ash]] [[wednesday]] is suspenseful and [[ultimately]] unpredictable , with a sterling ensemble [[cast]] .","for all its brooding quality , [[ashes]] [[tuesday]] is suspenseful and [[finally]] unpredictable , with a sterling ensemble [[casting]] .",0.0017317533493041992,0.0020485520362854004,1,1,1,47,"Failed"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[try]] to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[attempt]] to .",0.12223261594772339,0.9479957818984985,1,0,1,12,"Successful"
"the film feels uncomfortably real , its language and locations bearing the [[unmistakable]] stamp of authority .","the film feels uncomfortably real , its language and locations bearing the [[unambiguous]] stamp of authority .",0.024575352668762207,0.7133495807647705,1,0,1,13,"Successful"
"[[despite]] its [[faults]] , gangs excels in spectacle and pacing .","[[notwithstanding]] its [[failings]] , gangs excels in spectacle and pacing .",0.0010010600090026855,0.0017319917678833008,1,1,1,22,"Failed"
"[[entertaining]] [[despite]] its one-joke premise with the [[thesis]] that [[women]] from venus and [[men]] from mars can indeed get together .","[[amusing]] [[albeit]] its one-joke premise with the [[dissertation]] that [[woman]] from venus and [[male]] from mars can indeed get together .",0.003192901611328125,0.2058534026145935,1,1,1,89,"Failed"
"a [[tightly]] directed , [[highly]] professional [[film]] that's old-fashioned in all the best [[possible]] ways .","a [[closely]] directed , [[supremely]] professional [[movie]] that's old-fashioned in all the best [[doable]] ways .",0.0007179379463195801,0.0008306503295898438,1,1,1,73,"Failed"
"it's dark but has [[wonderfully]] funny moments ; you [[care]] about the characters ; and the action and [[special]] [[effects]] are first-rate .","it's dark but has [[excellently]] funny moments ; you [[caring]] about the characters ; and the action and [[particular]] [[implications]] are first-rate .",0.0012404918670654297,0.0009935498237609863,1,1,1,46,"Failed"
"in visual fertility treasure planet [[rivals]] the top [[japanese]] animations of recent vintage .","in visual fertility treasure planet [[contenders]] the top [[japan]] animations of recent vintage .",0.0011470317840576172,0.0023246407508850098,1,1,1,8,"Failed"
"[[enormously]] [[enjoyable]] , high-adrenaline documentary .","[[vastly]] [[pleasant]] , high-adrenaline documentary .",0.0007285475730895996,0.0017997026443481445,1,1,1,29,"Failed"
"buy is an [[accomplished]] actress , and this is a [[big]] , juicy role .","buy is an [[effected]] actress , and this is a [[large]] , juicy role .",0.0007901191711425781,0.0006850957870483398,1,1,1,6,"Failed"
"it works its magic with such exuberance and [[passion]] that the film's length becomes a [[part]] of its [[fun]] .","it works its magic with such exuberance and [[fervour]] that the film's length becomes a [[portion]] of its [[amusing]] .",0.0004540085792541504,0.001192331314086914,1,1,1,46,"Failed"
"[[beautifully]] crafted and brutally honest , promises offers an unexpected window into the complexities of the middle [[east]] [[struggle]] and into the humanity of its people .","[[excellently]] crafted and brutally honest , promises offers an unexpected window into the complexities of the middle [[easterly]] [[tussle]] and into the humanity of its people .",0.0007673501968383789,0.0010253190994262695,1,1,1,250,"Failed"
"an old-fashioned but emotionally [[stirring]] adventure tale of the kind they rarely make anymore .","an old-fashioned but emotionally [[agitating]] adventure tale of the kind they rarely make anymore .",0.0016769766807556152,0.9982461929321289,1,0,1,10,"Successful"
"charlotte [[sometimes]] is a gem . it's always [[enthralling]] .","charlotte [[occasionally]] is a gem . it's always [[riveting]] .",0.0015747547149658203,0.0011304020881652832,1,1,1,5,"Failed"
"in my [[opinion]] , [[analyze]] that is not as funny or [[entertaining]] as [[analyze]] this , but it is a respectable sequel .","in my [[view]] , [[analyzed]] that is not as funny or [[entertain]] as [[analyzing]] this , but it is a respectable sequel .",0.010920584201812744,0.009460091590881348,1,1,1,40,"Failed"
"a [[remarkable]] [[film]] by bernard rose .","a [[terrific]] [[movie]] by bernard rose .",0.0004321932792663574,0.0007907748222351074,1,1,1,23,"Failed"
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .","zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",0.5333447456359863,0.5333447456359863,0,0,1,1,"Skipped"
"a much more successful translation than its most [[famous]] previous [[film]] [[adaptation]] , writer-director anthony friedman's similarly [[updated]] 1970 british production .","a much more successful translation than its most [[notorious]] previous [[movie]] [[adjustments]] , writer-director anthony friedman's similarly [[updates]] 1970 british production .",0.0013974308967590332,0.002322971820831299,1,1,1,124,"Failed"
"an original and [[highly]] cerebral examination of the psychopathic [[mind]]","an original and [[supremely]] cerebral examination of the psychopathic [[intellect]]",0.0003210306167602539,0.0003706216812133789,1,1,1,38,"Failed"
"[[michel]] piccoli's moving performance is this [[films]] [[reason]] for being .","[[michele]] piccoli's moving performance is this [[movie]] [[reasons]] for being .",0.0006864070892333984,0.0047814249992370605,1,1,1,34,"Failed"
"a captivating and intimate study about dying and [[loving]] . . .","a captivating and intimate study about dying and [[affectionate]] . . .",0.0006461739540100098,0.0011830329895019531,1,1,1,3,"Failed"
"this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .","this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .",0.9896833300590515,0.9896833300590515,0,0,1,1,"Skipped"
"[grant] goes beyond his [[usual]] fluttering and stammering and [[captures]] the soul of a man in [[pain]] who [[gradually]] [[comes]] to [[recognize]] it and deal with it .","[grant] goes beyond his [[customary]] fluttering and stammering and [[captured]] the soul of a man in [[pains]] who [[progressively]] [[happens]] to [[acknowledge]] it and deal with it .",0.0006492733955383301,0.0005318522453308105,1,1,1,129,"Failed"
"a high-spirited buddy [[movie]] about the [[reunion]] of berlin anarchists who [[face]] [[arrest]] 15 years after their crime .","a high-spirited buddy [[movies]] about the [[reunification]] of berlin anarchists who [[facing]] [[arrests]] 15 years after their crime .",0.000576019287109375,0.0006249547004699707,1,1,1,117,"Failed"
"about the best thing you could say about narc is that it's a rock-solid little [[genre]] [[picture]] . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid little [[genus]] [[photographing]] . whether you like it or not is basically a matter of taste .",0.01594364643096924,0.9916659593582153,1,0,1,86,"Successful"
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .","an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",0.9815628528594971,0.9815628528594971,0,0,1,1,"Skipped"
"some of the most [[inventive]] silliness you are [[likely]] to witness in a [[movie]] [[theatre]] for some time .","some of the most [[creative]] silliness you are [[probable]] to witness in a [[movies]] [[theater]] for some time .",0.011383116245269775,0.4732202887535095,1,1,1,87,"Failed"
"[[canadian]] filmmaker [[gary]] burns' [[inventive]] and mordantly [[humorous]] take on the soullessness of [[work]] in the city .","[[canadians]] filmmaker [[garry]] burns' [[imaginative]] and mordantly [[hilarious]] take on the soullessness of [[collaborating]] in the city .",0.0005435347557067871,0.0005074739456176758,1,1,1,56,"Failed"
"a rollicking ride , with jaw-dropping action sequences , [[striking]] villains , a [[gorgeous]] [[color]] palette , [[astounding]] technology , [[stirring]] music and a boffo last hour that leads up to a strangely sinister [[happy]] [[ending]] .","a rollicking ride , with jaw-dropping action sequences , [[staggering]] villains , a [[wondrous]] [[colour]] palette , [[staggering]] technology , [[agitating]] music and a boffo last hour that leads up to a strangely sinister [[contented]] [[terminate]] .",0.0005859136581420898,0.8028863668441772,1,0,1,694,"Successful"
"everyone's insecure in [[lovely]] and [[amazing]] , a poignant and wryly [[amusing]] [[film]] about mothers , [[daughters]] and their [[relationships]] .","everyone's insecure in [[handsome]] and [[awesome]] , a poignant and wryly [[droll]] [[movie]] about mothers , [[girl]] and their [[relationship]] .",0.0004207491874694824,0.005907833576202393,1,1,1,343,"Failed"
"the closest thing to the experience of space [[travel]]","the closest thing to the experience of space [[trip]]",0.14834022521972656,0.7403637170791626,1,0,1,8,"Successful"
"full of surprises .","full of surprises .",0.0007993578910827637,0.0007993578910827637,1,1,1,1,"Failed"
"connoisseurs of chinese [[film]] [[will]] be [[pleased]] to discover that tian's [[meticulous]] talent has not withered during his enforced [[hiatus]] .","connoisseurs of chinese [[films]] [[volition]] be [[glad]] to discover that tian's [[careful]] talent has not withered during his enforced [[suspension]] .",0.005984961986541748,0.005907952785491943,1,1,1,85,"Failed"
"if you can push on through the slow spots , you'll be rewarded with some [[fine]] acting .","if you can push on through the slow spots , you'll be rewarded with some [[fined]] acting .",0.006563007831573486,0.9918193221092224,1,0,1,7,"Successful"
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .","an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",0.5036887526512146,0.5036887526512146,0,0,1,1,"Skipped"
"symbolically , warm water under a red [[bridge]] is a [[celebration]] of feminine energy , a [[tribute]] to the power of women to heal .","symbolically , warm water under a red [[bridging]] is a [[celebrate]] of feminine energy , a [[commendation]] to the power of women to heal .",0.0007714033126831055,0.0012357234954833984,1,1,1,75,"Failed"
"[[spy]] [[kids]] 2 also happens to be that rarity among sequels : it actually improves upon the original [[hit]] [[movie]] .","[[espionage]] [[children]] 2 also happens to be that rarity among sequels : it actually improves upon the original [[pummeled]] [[filmmaking]] .",0.0009838342666625977,0.0017975568771362305,1,1,1,105,"Failed"
"[[exceptionally]] well acted by diane [[lane]] and richard gere .","[[unusually]] well acted by diane [[lanes]] and richard gere .",0.0008053183555603027,0.0013030171394348145,1,1,1,11,"Failed"
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .","like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",0.9972813129425049,0.9972813129425049,0,0,1,1,"Skipped"
"in addition to [[scoring]] high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & [[stitch]] has a number of other assets to [[commend]] it to movie audiences both [[innocent]] and jaded .","in addition to [[punctuation]] high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & [[sew]] has a number of other assets to [[congratulated]] it to movie audiences both [[blameless]] and jaded .",0.0012603402137756348,0.5031498670578003,1,0,1,341,"Successful"
"miller has [[crafted]] an intriguing [[story]] of maternal instincts and [[misguided]] [[acts]] of affection .","miller has [[devised]] an intriguing [[tale]] of maternal instincts and [[inaccurate]] [[act]] of affection .",0.0005877017974853516,0.0743759274482727,1,1,1,51,"Failed"
